id,reviewer_id,rating
79889,390952,3
79890,95671,5
79891,282014,1
79892,282014,2
79893,64519,2
79894,519373,5
79895,535892,4
79896,515217,5
79897,533141,5
79898,7602,4
79899,500872,3
79900,282014,1
79901,141215,4
79902,59963,5
79903,507580,3
79904,535851,5
79905,30263,4
79906,30263,5
79907,387279,4
79908,460477,4
79909,229676,4
79910,26544,4
79911,452524,4
79912,452524,4
79913,309920,3
79914,309920,1
79915,492754,3
79916,492754,4
79917,205971,2
79918,26544,3
79919,50996,4
79920,536048,4
79921,287748,3
79922,489548,1
79923,181620,2
79924,161268,5
79925,93374,3
79926,463355,4
79927,516598,4
79928,516598,3
79929,516598,3
79930,171374,4
79931,14506,3
79932,502030,3
79933,95965,5
79934,535212,3
79935,149565,4
79936,16395,4
79937,493695,4
79938,401352,5
79939,2034,4
79940,104335,4
79941,535503,5
79942,370190,3
79944,520660,4
79945,522831,2
79946,444842,5
79947,55510,4
79948,110009,5
79949,533685,4
79950,188922,5
79951,536484,4
79952,188922,4
79953,16395,5
79954,164373,5
79955,325030,4
79956,536484,1
79957,236192,4
79958,536484,3
79959,536484,2
79960,95884,5
79961,536484,4
79962,536484,2
79963,315356,4
79964,536484,2
79965,536484,4
79966,7393,5
79967,480651,3
79968,536484,2
79969,536484,5
79970,15232,4
79971,286612,4
79972,534039,4
79973,286612,4
79974,229676,5
79975,286612,4
79976,177909,5
79977,406761,5
79978,286612,5
79979,15232,4
79980,82423,4
79981,50448,2
79982,536574,5
79983,180858,4
79984,175718,4
79985,212592,3
79986,426868,3
79987,514592,4
79988,513089,4
79989,415246,5
79990,528076,5
79991,499276,4
79992,64311,4
79994,535546,5
79995,163872,4
79996,528490,5
79997,528490,1
79998,322390,4
79999,535048,5
80000,536732,5
80001,171374,3
80002,460477,5
80003,208518,3
80004,57272,2
80005,504818,3
80006,10288,3
80007,413112,3
80008,536927,5
80009,15044,4
80010,512395,1
80011,143140,4
80012,77706,5
80013,15044,4
80014,355058,4
80015,335281,4
80016,15044,3
80017,536332,5
80018,496936,3
80019,154805,5
80020,496936,3
80023,176996,4
80024,535732,4
80025,54194,3
80026,54194,4
80027,503169,5
80028,15044,4
80029,63484,4
80030,337076,3
80031,496936,3
80032,496936,4
80033,15044,3
80034,496936,4
80035,435731,5
80036,489616,3
80037,496936,4
80038,496936,3
80039,15044,2
80040,339799,4
80041,198180,3
80042,491299,4
80043,143140,4
80044,20384,4
80045,64519,4
80046,460538,5
80047,161531,5
80048,231277,3
80049,537048,5
80050,71095,5
80051,188922,4
80052,37595,2
80053,534039,4
80054,15044,3
80055,532860,5
80056,341712,2
80057,10288,4
80058,346662,2
80059,15044,3
80060,117430,4
80061,93430,4
80063,117430,3
80064,7393,4
80065,15044,3
80066,117430,3
80067,188922,5
80070,537087,5
80071,228810,5
80072,30263,3
80073,30263,3
80074,117430,4
80075,486547,5
80076,537158,4
80077,537087,5
80078,537158,4
80079,532544,4
80080,536484,4
80081,532544,3
80082,185835,3
80083,116733,2
80084,532544,4
80085,93430,4
80086,532544,5
80087,532692,4
80088,117430,4
80089,286762,4
80090,312970,4
80091,117430,3
80092,14506,4
80093,15044,4
80094,185835,4
80095,389167,5
80096,117430,2
80097,496936,3
80098,496936,4
80099,496936,3
80100,117430,3
80101,496936,4
80102,496936,4
80103,15044,3
80104,528490,2
80105,445107,3
80106,496936,3
80107,15044,5
80108,376094,5
80109,117430,4
80110,376094,5
80111,185835,5
80112,439727,2
80113,519937,4
80114,536048,4
80115,117430,4
80116,362938,3
80117,78268,4
80118,362938,2
80119,362938,4
80120,362938,3
80121,362938,3
80122,514592,2
80123,509675,4
80124,362938,3
80125,509675,2
80126,362938,3
80127,362938,4
80128,250236,2
80129,250236,2
80130,250236,2
80131,55253,4
80132,202288,4
80133,15181,3
80134,429825,3
80135,237832,3
80136,537518,5
80137,265,5
80138,487924,4
80139,198180,2
80140,45251,4
80141,387865,4
80142,2034,3
80143,198180,5
80144,530835,5
80145,508382,5
80146,530835,5
80147,198180,5
80148,341527,1
80149,530835,5
80150,341527,4
80151,244669,4
80152,530835,4
80153,198180,3
80154,198180,5
80155,198180,4
80156,362938,2
80157,121310,5
80158,472991,2
80159,198180,5
80160,471493,3
80161,194073,4
80162,198180,5
80163,537774,2
80164,506506,4
80165,481952,4
80166,81188,4
80167,15664,4
80168,14,2
80169,537803,5
80170,302513,4
80171,504818,4
80172,246569,4
80173,385521,5
80174,341626,4
80175,325030,3
80176,406761,4
80177,335281,4
80178,276074,3
80179,258703,4
80180,423942,3
80181,68757,3
80182,537969,4
80183,127128,4
80184,537963,5
80185,534039,3
80186,465285,4
80187,395158,1
80188,156855,4
80189,464971,5
80190,21824,1
80191,50399,5
80192,335281,4
80193,294578,5
80194,524979,1
80195,538088,5
80196,538088,5
80198,258449,3
80199,39043,4
80200,538111,5
80205,311321,4
80206,50996,4
80207,144812,4
80208,23493,5
80209,160632,5
80210,530835,4
80211,39443,4
80212,485818,4
80213,498123,4
80214,39443,5
80215,39414,5
80216,291883,5
80217,291883,3
80218,538230,5
80219,538046,3
80220,524706,5
80221,419124,4
80222,529817,4
80223,329051,4
80224,144812,3
80225,477155,5
80226,39443,4
80227,355894,3
80228,533750,4
80229,35676,4
80230,468282,3
80231,91555,3
80232,538318,3
80233,538359,5
80234,141087,2
80235,89816,3
80236,537518,5
80237,121926,3
80238,94994,4
80239,188256,1
80240,538423,5
80241,490840,3
80242,502224,4
80243,90155,4
80244,446524,4
80245,536714,1
80246,14506,4
80247,251464,4
80248,537724,4
80249,355894,4
80250,114495,3
80251,538503,4
80252,85499,5
80253,139572,4
80254,471434,4
80255,23493,3
80256,130721,4
80258,520856,4
80259,73442,4
80260,19452,5
80261,11639,4
80262,414923,4
80263,19452,4
80264,83242,4
80265,538632,5
80266,125912,5
80267,19452,3
80268,23544,4
80269,11639,4
80270,336627,4
80271,198180,4
80272,103451,5
80273,538741,3
80274,537508,5
80275,385234,4
80276,537508,5
80277,168096,5
80278,379945,4
80279,10288,4
80280,534160,4
80281,477915,5
80282,30263,5
80283,461690,1
80284,445107,4
80285,163857,4
80286,491119,5
80287,500080,2
80288,491119,5
80289,488916,4
80290,488916,3
80291,488916,3
80292,106348,4
80293,270881,1
80294,534103,5
80295,521575,3
80296,231309,5
80297,15181,3
80298,539082,5
80299,56852,4
80300,64519,3
80301,477185,4
80302,476558,4
80303,538571,5
80304,490461,5
80305,474393,3
80306,2040,3
80307,159253,3
80308,539294,5
80309,55467,1
80310,512430,4
80311,55467,1
80312,55467,2
80313,539337,3
80314,55467,2
80315,406044,4
80316,528490,5
80317,337516,5
80318,193892,5
80319,171374,5
80320,448149,4
80321,17867,3
80322,48459,4
80323,539466,5
80324,505993,4
80325,539480,5
80326,34154,3
80327,539400,5
80328,539400,5
80329,539520,5
80330,531708,5
80331,539400,1
80332,50448,3
80333,500411,4
80334,428694,4
80335,488317,4
80336,394136,4
80337,362457,4
80338,394136,4
80339,502479,5
80340,508169,5
80341,485896,4
80342,261742,4
80343,488317,2
80344,171374,4
80345,141950,5
80346,55467,2
80347,538386,4
80348,55467,1
80349,497743,1
80350,429496,2
80351,55467,3
80352,241035,4
80353,149206,5
80354,218292,4
80355,90403,5
80356,55467,4
80357,54194,1
80358,279526,5
80359,379465,1
80360,539837,5
80361,15232,5
80362,495545,4
80363,121722,4
80364,163222,5
80365,362938,4
80366,113621,3
80367,309920,4
80368,539259,3
80369,497743,2
80370,490968,4
80371,35068,3
80372,312970,3
80373,309920,3
80374,539809,4
80375,309920,4
80376,356136,2
80377,189835,3
80378,83346,4
80379,235440,4
80380,43776,3
80381,476558,2
80382,527365,5
80383,149191,1
80384,540061,3
80385,81763,4
80386,14,4
80387,333608,4
80388,50634,3
80389,128904,5
80390,495171,4
80391,191627,4
80392,518079,5
80393,381030,4
80394,540204,4
80395,540278,5
80396,451142,4
80397,420129,3
80398,325030,4
80399,160370,5
80400,509205,4
80401,539214,5
80402,78700,4
80403,10288,4
80404,138833,4
80405,496335,4
80406,55332,3
80407,85499,4
80408,96899,5
80409,497619,3
80410,137579,5
80411,15201,4
80412,293855,3
80413,383871,4
80414,82399,4
80415,234828,2
80416,143140,4
80417,83230,4
80418,234828,3
80419,66443,1
80420,507310,4
80421,208629,5
80422,15181,3
80423,489616,3
80424,539538,2
80425,385234,4
80426,535611,4
80427,83615,4
80428,105686,2
80429,251051,4
80430,161001,4
80431,310242,3
80432,27648,4
80433,540644,5
80434,533658,4
80435,348277,5
80436,22104,3
80437,516392,4
80438,537321,5
80439,230952,2
80440,208518,5
80441,50399,4
80442,353800,4
80443,406116,3
80444,50399,5
80445,14506,5
80446,355894,5
80447,518667,4
80448,311649,2
80449,50399,5
80450,106348,4
80451,394136,5
80452,50399,5
80453,50399,5
80454,540827,3
80455,534477,3
80456,248789,5
80457,293628,5
80458,486725,3
80459,5277,5
80460,9,5
80461,5277,5
80462,14506,4
80463,333676,4
80464,22983,3
80465,540774,5
80466,181620,3
80467,493707,3
80468,540453,4
80469,333175,3
80470,540453,4
80471,541111,5
80472,225339,4
80473,389167,4
80474,364610,1
80475,460625,5
80476,539486,1
80477,541329,5
80478,376603,5
80479,39850,2
80480,541373,1
80481,80195,5
80482,540294,2
80483,376603,5
80484,80195,5
80485,540294,4
80486,67581,4
80487,179380,3
80488,67581,5
80489,179380,5
80490,496335,5
80491,541427,5
80492,540843,2
80494,179380,4
80495,496335,2
80496,93430,4
80497,541404,4
80498,163222,2
80499,541404,5
80500,296930,1
80501,14506,3
80502,485035,4
80503,496335,4
80504,505891,3
80505,498663,4
80506,299635,5
80507,114317,4
80508,53884,4
80509,540294,3
80510,193892,5
80512,185835,5
80513,376603,4
80514,228810,4
80515,193892,5
80516,126829,3
80517,383871,3
80518,228810,5
80519,537158,4
80520,50448,2
80521,41147,3
80522,41147,4
80523,511305,5
80524,541751,3
80525,516392,4
80526,98758,4
80527,13284,5
80528,508828,2
80529,87856,1
80530,504647,4
80531,318706,5
80532,534356,5
80533,119271,4
80534,93070,5
80535,382729,5
80536,241106,4
80537,278448,1
80538,537823,2
80539,167211,4
80540,541487,5
80541,177909,5
80542,85499,4
80543,54194,4
80544,339799,3
80545,502689,5
80546,71667,2
80547,489616,3
80548,452524,4
80549,30535,4
80550,489616,3
80551,420990,5
80552,121876,5
80553,428818,2
80554,179380,5
80555,113171,4
80556,429496,2
80557,2643,4
80558,149206,5
80559,265739,4
80560,187998,4
80561,114495,3
80562,440259,4
80563,131562,4
80564,179380,5
80565,85499,4
80566,502926,4
80567,542062,4
80568,37595,4
80569,50996,4
80570,179380,5
80571,502926,5
80572,304244,5
80573,443769,4
80574,443769,4
80575,179380,5
80576,502926,5
80577,383030,5
80578,286612,4
80579,502926,5
80580,286936,1
80581,497619,4
80582,354139,5
80583,502926,1
80584,461558,1
80585,196099,3
80586,454793,4
80587,24679,4
80588,318706,5
80589,502926,2
80590,461558,3
80591,17867,4
80592,265739,4
80593,529131,3
80594,542214,4
80595,409332,5
80596,539457,4
80597,154491,4
80598,507870,3
80599,502926,3
80600,186451,4
80601,186451,5
80602,243672,5
80603,60976,4
80604,286382,5
80605,313527,4
80606,186451,3
80607,137696,5
80608,186451,4
80609,540294,3
80610,502926,5
80613,79351,4
80614,485896,4
80615,542300,4
80616,186451,5
80617,542261,4
80618,318706,4
80619,485054,2
80620,318706,3
80621,471147,5
80622,514179,5
80623,318706,4
80624,507709,4
80625,458431,5
80626,179380,2
80627,481086,5
80628,50399,4
80629,15636,4
80630,63748,4
80631,50399,4
80632,156141,3
80633,529501,4
80634,68806,4
80635,481590,4
80636,466090,5
80637,521910,4
80638,10743,3
80639,10743,3
80640,116493,4
80641,542591,5
80642,150489,4
80643,190386,2
80645,99742,5
80646,50399,4
80647,187998,2
80648,94818,5
80649,537969,4
80650,541487,5
80651,537969,4
80652,5277,3
80653,265,4
80654,123588,3
80655,144697,3
80656,212592,3
80657,313868,5
80658,428818,4
80659,123942,1
80660,541832,4
80661,491699,1
80662,429496,3
80663,35068,4
80664,153473,4
80666,518708,4
80667,542733,3
80668,509676,4
80669,93430,3
80670,285726,3
80671,63748,4
80672,79351,4
80673,121876,5
